Ion_Name	Mass_Equation	Ion_Mode	Charge	Adduct_Mass
[M+H]+	M+1.007276	positive	1	1.007276
[M+Na]+	M+22.989218	positive	1	22.989218
[M-H]-	M-1.007276	negative	1	-1.007276
[M+3H]3+	M/3+1.007276	positive	3	1.007276
[M+2H+Na]3+	M/3+8.334590	positive	3	8.33459
[M+H+2Na]3+	M/3+15.7661904	positive	3	15.7661904
[M+3Na]3+	M/3+22.989218	positive	3	22.989218
[M+2H]2+	M/2+1.007276	positive	2	1.007276
[M+H+NH4]2+	M/2+9.520550	positive	2	9.52055
[M+H+Na]2+	M/2+11.998247	positive	2	11.998247
[M+H+K]2+	M/2+19.985217	positive	2	19.985217
[M+ACN+2H]2+	M/2+21.520550	positive	2	21.52055
[M+2Na]2+	M/2+22.989218	positive	2	22.989218
[M+2ACN+2H]2+	M/2+42.033823	positive	2	42.033823
[M+3ACN+2H]2+	M/2+62.547097	positive	2	62.547097
[M+NH4]+	M+18.033823	positive	1	18.033823
[M+CH3OH+H]+	M+33.033489	positive	1	33.033489
[M+K]+	M+38.963158	positive	1	38.963158
[M+ACN+H]+	M+42.033823	positive	1	42.033823
[M+2Na-H]+	M+44.971160	positive	1	44.97116
[M+IsoProp+H]+	M+61.06534	positive	1	61.06534
[M+ACN+Na]+	M+64.015765	positive	1	64.015765
[M+2K-H]+	M+76.919040	positive	1	76.91904
[M+DMSO+H]+	M+79.02122	positive	1	79.02122
[M+2ACN+H]+	M+83.060370	positive	1	83.06037
[M+IsoProp+Na+H]+	M+84.05511	positive	1	84.05511
[2M+H]+	2*M+1.007276	positive	1	1.007276
[2M+NH4]+	2*M+18.033823	positive	1	18.033823
[2M+Na]+	2*M+22.989218	positive	1	22.989218
[2M+K]+	2*M+38.963158	positive	1	38.963158
[2M+ACN+H]+	2*M+42.033823	positive	1	42.033823
[2M+ACN+Na]+	2*M+64.015765	positive	1	64.015765
[M-3H]3-	M/3-1.007276	negative	3	-1.007276
[M-2H]2-	M/2-1.007276	negative	2	-1.007276
[M-H2O-H]-	M-19.01839	negative	1	-19.01839
[M+Na-2H]-	M+20.974666	negative	1	20.974666
[M+Cl]-	M+34.969402	negative	1	34.969402
[M+K-2H]-	M+36.948606	negative	1	36.948606
[M+FA-H]-	M+44.998201	negative	1	44.998201
[M+Hac-H]-	M+59.013851	negative	1	59.013851
[M+Br]-	M+78.918885	negative	1	78.918885
[M+TFA-H]-	M+112.985586	negative	1	112.985586
[2M-H]-	2*M-1.007276	negative	1	-1.007276
[2M+FA-H]-	2*M+44.998201	negative	1	44.998201
[2M+Hac-H]-	2*M+59.013851	negative	1	59.013851
[3M-H]-	3*M-1.007276	negative	1	-1.007276
